file,function,line,mentions,verdict,sample
app/agent/llm/adult_llm_engine.py,_maybe_handle_notification_delivery_question,266,ADULT,"FIXED TEXT, NO GUARD","შეტყობინებას სწორედ აქ, Messenger-ში მიიღებთ — ამავე ჩატში. როცა ახალი ზრდასრულთა ღონისძიება დაემატება, დეტალე"
app/agent/llm/adult_llm_engine.py,_maybe_adult_offtopic_reply,314,CAMP+ADULT,"FIXED TEXT, NO GUARD",სიტყვის აკადემი აკადემი ღონისძიებ საღამო შეხვედრ კონცერტ კულტურულ ლიტერატურ პოეტურ პოეზი მუსიკ წიგნ კლუბ ფესტი
app/agent/llm/adult_llm_engine.py,_user_wants_parent_flow,445,CAMP+ADULT,"FIXED TEXT, NO GUARD",Heuristic — does the inbound message look like a camp inquiry? Decision tree: * Empty / no keywords → False. *
app/agent/llm/adult_llm_engine.py,_looks_like_bare_intro,1098,ADULT,"FIXED TEXT, NO GUARD",Heuristic: short ack response with an adult-event keyword and no question. Catches near-miss phrasings the lit
app/agent/llm/adult_llm_engine.py,_ends_with_dagexmarebit,1119,ADULT,"FIXED TEXT, NO GUARD",Live QA Bug Fix Patch (2026-06-04) — broader catch-all. gpt-5.4-mini sometimes produces short adult-flow ack r
app/agent/llm/adult_llm_engine.py,_ensure_adult_intro_followup,1135,ADULT,"FIXED TEXT, NO GUARD","გნებავთ, აქტიური ღონისძიებები შემოგთავაზოთ?"
app/agent/llm/adult_llm_engine.py,_strip_invented_price_missing_phrases,1263,ADULT,"FIXED TEXT, NO GUARD",დასწრების საფასური ღონისძიების კონფიგურაციაში მითითებული არაა დასწრების საფასური მითითებული არ არის დასწრების 
app/agent/llm/adult_llm_engine.py,_strip_invented_sold_out_phrases,1290,ADULT,"FIXED TEXT, NO GUARD",ადგილები ამჟამად ამოწურულია ადგილები ამოწურულია ადგილები აღარ არის ადგილები არ არის ადგილები შემოიფარგლა ადგილ
app/agent/llm/adult_llm_engine.py,sanitise_adult_response,1393,ADULT,"FIXED TEXT, NO GUARD",მოგიწოდებთ გთხოვთ კეთილი იყოს თქვენი ვიზიტი სიტყვის აკადემიაის კულტურულ სივრცეში კეთილი იყოს თქვენი ვიზიტი სიტ
app/agent/llm/adult_llm_engine.py,_is_direct_subscription_intent,1650,ADULT,"FIXED TEXT, NO GUARD",ჩამწერეთ სადმე სიაში ჩამწერეთ სიაში ჩამამატეთ სიაში დამამატეთ ავტომატურად მომივიდეს ავტომატურად მომდიოდეს ავტო
app/agent/llm/adult_llm_engine.py,_deterministic_subscribe,1663,ADULT,"FIXED TEXT, NO GUARD",თქვენ უკვე ხართ სიაში. ახალი ზრდასრულთა ღონისძიებების დამატებისას შეგატყობინებთ.
app/agent/llm/adult_llm_engine.py,_render_named_adult_event,1839,ADULT,"FIXED TEXT, NO GUARD",სხვა ღონისძიებებიც ჩამოგითვალოთ?
app/agent/llm/adult_llm_engine.py,_has_genuine_event_name_token,1896,ADULT,"FIXED TEXT, NO GUARD",ჩემთვ ჩემთა ჩემი თქვენთვ თქვენ შვილ ბავშვ ადამიან მეგობ ოჯახ კულტურულ ზრდასრულ მაინტერეს დაინტერეს კიდევ სხვა 
app/agent/llm/adult_llm_engine.py,_render_active_events_list,1914,ADULT,"FIXED TEXT, NO GUARD",ამ ეტაპზე აქტიური ღონისძიებები:
app/agent/llm/adult_llm_engine.py,_render_past_named_event,1934,ADULT,"FIXED TEXT, NO GUARD",ღონისძიება უკვე გაიმართა
app/agent/llm/adult_llm_engine.py,_render_unknown_named_event,1949,ADULT,"FIXED TEXT, NO GUARD",ამ სახელით ღონისძიება ვერ მოვძებნე. დეტალები მენეჯერთან შეგიძლიათ გადაამოწმოთ.
app/agent/llm/adult_llm_engine.py,_maybe_handle_named_adult_event,1959,ADULT,"FIXED TEXT, NO GUARD",საღამო ღონისძიებ კონცერ
app/agent/llm/adult_llm_engine.py,run_adult_llm_turn,2021,CAMP+ADULT,"FIXED TEXT, NO GUARD","გასაგებია, ბანაკის შესახებ დაგეხმარებით. თქვენი შვილი რამდენი წლისაა?"
app/agent/llm/parent_llm_engine.py,_topic_tool_prompt_suffix,170,CAMP,"FIXED TEXT, NO GUARD","როცა მშობელი კითხულობს ბანაკის კონკრეტულ თემაზე (უსაფრთხოება, კვება, გაჯეტები, სამედიცინო, მშობელთან კომუნიკაც"
app/agent/llm/parent_llm_engine.py,extract_distinct_child_ages,490,CAMP,"FIXED TEXT, NO GUARD","Return the distinct plausible child ages (5–20) a parent stated in a COMPACT multi-age expression, first-seen "
app/agent/llm/parent_llm_engine.py,maybe_capture_challenge_fallback,841,ADULT,"FIXED TEXT, NO GUARD",ნომერ ტელეფონის ნომერი +995 595 598 599 555 557 511 574 577 568 საათზე :00 :30 ზრდასრულთა ზრდასრულ კულტურულ სა
app/agent/llm/parent_llm_engine.py,_build_sanitizer_safety_entries,1904,CAMP+ADULT,"FIXED TEXT, NO GUARD","მოგიწოდებთ გთხოვთ გაიმეორეთ, გთხოვთ, თქვენი ტელეფონის ნომერი მომწერეთ თქვენი 9-ნიშნა საკონტაქტო ნომერი გაიმეორ"
app/agent/llm/parent_llm_engine.py,_apply_dynamic_fact_normalisations,2076,CAMP,"FIXED TEXT, NO GUARD",ბანაკის ღირებულება \1 ლარია
app/agent/llm/parent_llm_engine.py,sanitise_response_wording,2244,CAMP+ADULT,"FIXED TEXT, NO GUARD","მოგიწოდებთ გთხოვთ გაიმეორეთ, გთხოვთ, თქვენი ტელეფონის ნომერი მომწერეთ თქვენი 9-ნიშნა საკონტაქტო ნომერი გაიმეორ"
app/agent/llm/parent_llm_engine.py,_use_v3_prompt,2997,CAMP,"FIXED TEXT, NO GUARD","Prompt v3 (2026-08-02). Loads `parent_v3.md` — the 13 rules the inventory marked KEEP, plus role, tone and gra"
app/agent/llm/parent_llm_engine.py,_apply_offtopic_intelligence,3053,CAMP,"FIXED TEXT, NO GUARD",[პროგრამა-აგნოსტიკური წესი — CRITICAL] საზაფხულო ბანაკი ამჟამად დასრულებულია და აქტიური შეთავაზება არ არის. *ა
app/agent/llm/parent_llm_engine.py,_build_sales_context,3774,CAMP+ADULT,"FIXED TEXT, NO GUARD",- მომხმარებელმა უარი თქვა — *არ* შესთავაზო ბანაკი/კონსულტაცია; მხოლოდ თბილი დახურვა.
app/flows/parent_flow.py,_camp_registration_closed_answer,114,CAMP,"FIXED TEXT, NO GUARD",ბანაკის ბოლო ნაკადი უკვე დაიწყო და რეგისტრაცია დასრულებულია.
app/flows/parent_flow.py,_camp_future_information_not_announced_answer,125,CAMP,"FIXED TEXT, NO GUARD",შემდეგი ბანაკის თარიღები და რეგისტრაციის ინფორმაცია ჯერ არ არის გამოცხადებული.
app/flows/parent_flow.py,_final_camp_policy_has_future_intent,194,CAMP,"FIXED TEXT, NO GUARD",შემდეგ მომავალ ახალ ბანაკ ახალი ბანაკ კიდევ როდის ისევ როდის გაიხსნ როდის იქნება მომავალ წელს next future anot
app/flows/parent_flow.py,_final_camp_policy_has_current_detail,201,CAMP,"FIXED TEXT, NO GUARD",ნაკად როდის თარიღ რიცხვ დაიწყ დაწყებ მიმდინარე ახლა სად ლოკაცი კაჭრეთ მისამართ ხანგრძლივ რამდენი დღე დღიან გან
app/flows/parent_flow.py,_final_camp_policy_has_sunday_school_direction,233,CAMP,"FIXED TEXT, NO GUARD",ახლა რა გაქვთ ამ ეტაპზე რა გაქვთ რა გაქვთ ახლა ალტერნატივ ბანაკის ნაცვლად სხვა რა სხვა საბავშვო რისი შეთავაზებ
app/flows/parent_flow.py,_final_camp_policy_has_recent_camp_context,242,CAMP,"FIXED TEXT, NO GUARD",ბანაკ საზაფხულო ლაგერ ნაკად
app/flows/parent_flow.py,_camp_over_line,815,CAMP,"FIXED TEXT, NO GUARD","What is said once the camp is behind us, rather than mid-season. The old sentence was „ბანაკის მიმდინარე ნაკად"
app/flows/parent_flow.py,_camp_status_message,831,CAMP,"FIXED TEXT, NO GUARD",ბანაკის მიმდინარე ნაკადებზე ადგილები შევსებულია.
app/flows/parent_flow.py,_camp_status_short,840,CAMP,"FIXED TEXT, NO GUARD",ბანაკის მიმდინარე ნაკადებზე ადგილები შევსებულია.
app/flows/parent_flow.py,_msg_has_camp_intent,848,CAMP,"FIXED TEXT, NO GUARD",ბანაკ საზაფხულო ლაგერ ნაკად
app/flows/parent_flow.py,_camp_off_suppresses_info,878,CAMP,"FIXED TEXT, NO GUARD","USE_CAMP_OFF_GATE: when the camp is NOT active AND the message has no explicit camp word, the deterministic ca"
app/flows/parent_flow.py,_msg_has_adult_intent,906,CAMP,"FIXED TEXT, NO GUARD",ბანაკ საზაფხულო ლაგერ ნაკად
app/flows/parent_flow.py,_msg_declines_camp,981,CAMP,"FIXED TEXT, NO GUARD",The parent is saying the camp is NOT what they want. A camp word makes every camp detector read the message as
app/flows/parent_flow.py,_bot_recently_asked_challenge_question,1449,CAMP,"FIXED TEXT, NO GUARD",რას ელოდებით რას ელით ბანაკ რისი მიღება რისი მიღწევა რას მოელით რას ისურვ მთავარი მიზანი მთავარი მოტივაცი რა მ
app/flows/parent_flow.py,_build_multi_child_ack,3165,CAMP,"FIXED TEXT, NO GUARD",რამდენიმე ბავშვის ასაკი მივიღე — წელი. ყველა ასაკი ჩავიწერე. ბანაკი ყველა ასაკისთვის შესაბამისია.
app/flows/parent_flow.py,_maybe_acknowledge_stored_state,3656,CAMP,"FIXED TEXT, NO GUARD","გამარჯობა! წინა საუბრიდან ვიცი, რომ თქვენი შვილი წლისაა. ბანაკით ისევ ინტერესდებით?"
app/flows/parent_flow.py,_ensure_adult_intro_followup_for_parent_flow,3841,ADULT,"FIXED TEXT, NO GUARD",ღონისძიების შერჩევა თქვენთვის გსურთ თუ თქვენი შვილისთვის?
app/flows/parent_flow.py,_is_camp_price_intent,4673,ADULT,"FIXED TEXT, NO GUARD",საკვირაო სკოლ ღონისძიებ ზრდასრულ საღამო კონცერ ბილეთ
app/flows/parent_flow.py,_camp_payment_process_answer,4742,CAMP,"FIXED TEXT, NO GUARD","ბანაკის ჯავშნის საფასურის გადახდა ხდება წინასწარ, ხოლო სრული თანხის — ხელშეკრულებით გათვალისწინებულ დროში. გად"
app/flows/parent_flow.py,_has_camp_price_discount_question,4756,CAMP,"FIXED TEXT, NO GUARD",ფასდაკლებ დედმამიშვილ და-ძმ და ძმ წინა ბანაკ მონაწილეებისთვის
app/flows/parent_flow.py,_is_camp_price_amount_question,4761,ADULT,"FIXED TEXT, NO GUARD",საკვირაო სკოლ ღონისძიებ ზრდასრულ საღამო კონცერ ბილეთ
app/flows/parent_flow.py,_camp_price_full_block,4937,CAMP,"FIXED TEXT, NO GUARD","ბანაკის ფასი არის ლარი. ამ თანხაში შედის ტრანსპორტირება, განთავსება, კვება და სრული პროგრამა. გადახდის გადანაწ"
app/flows/parent_flow.py,_bot_recently_in_adult_context,5315,CAMP+ADULT,"FIXED TEXT, NO GUARD",ბავშვების საზაფხულო ბანაკი
app/flows/parent_flow.py,_maybe_handle_adult_context_relative,5349,ADULT,"FIXED TEXT, NO GUARD",რამდენი წლის არის მონაწილე? ზრდასრულთა ღონისძიებებს ასაკობრივი შეზღუდვა შეიძლება ჰქონდეს.
app/flows/parent_flow.py,_maybe_handle_parent_contact_visit,5456,CAMP,"FIXED TEXT, NO GUARD",მშობლებს ბანაკის განმავლობაში ყოველდღიურად ეგზავნებათ დღის პროგრამა და ფოტო-ვიდეო მასალა.
app/flows/parent_flow.py,_transport_answer,5866,CAMP,"FIXED TEXT, NO GUARD",ბანაკის ღირებულებაში ტრანსპორტირება შედის.
app/flows/parent_flow.py,_maybe_handle_underage_manager_handoff,6159,CAMP,"FIXED TEXT, NO GUARD",წლის ბავშვი — ასაკი ბანაკის ქვემოთ (– წელი)
app/flows/parent_flow.py,_maybe_handle_sunday_school,6582,CAMP+ADULT,"FIXED TEXT, NO GUARD",ბანაკ საზაფხულო ლაგერ კონსულტაც ღონისძიებ ფას
app/flows/parent_flow.py,_is_camp_registration_link_request,6800,CAMP,"FIXED TEXT, NO GUARD",True when the message is a clear CAMP registration / link / form / sign-up request — a camp keyword PLUS a tra
